duration,input.bin,input.doc_len,input.document_id,input.document_title,input.index,input.query_id,input.topic_description,input.topic_query,job,output.relevant_snippets,output.relevant_snippets.annotations,output.relevant_snippets.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,max_relevance_score,none_score,nist_rel,nist_rel_binary,crowd_rel_binary,crowd_rel_ternary
32.5714285714,1,139,13335,,3353,307,"Identify hydroelectric projects proposed or under construction by country and location. Detailed description of nature, extent, purpose, problems, and consequences is desirable.",New Hydroelectric Projects,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'none': 4, 's2': 3, 's1': 2})",9,3,7,0.3863978364,"Counter({'none': 0.5348376480006888, 's2': 0.4651623519993114, 's1': 0.3864361962603746})",0.4006768363,"Counter({'none': 0.5714285714285714, 's2': 0.42857142857142855, 's1': 0.2857142857142857})",0.465162352,0.534837648,0,0,1,1
53,1,445,13671,A GALLERY OF AMERICAN ORIGINALS,9866,439,What new inventions or scientific discoveries have been made?,"inventions, scientific discoveries",../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s4': 7, 's5': 6, 's3': 5, 's2': 4, 's1': 4})",26,5,7,0.7317742868,"Counter({'s4': 1.0, 's5': 0.8644151707604266, 's3': 0.7816907412558032, 's2': 0.4561757182826811, 's1': 0.40331531854773117})",0.7346102297,"Counter({'s4': 1.0, 's5': 0.8571428571428571, 's3': 0.7142857142857143, 's2': 0.5714285714285714, 's1': 0.5714285714285714})",1,0,0,0,1,2
48.7142857143,1,320,14454,"46 DEAD, 111 HURT AS 2 TRAINS COLLIDE IN SAO PAULO SUBURB",7502,436,What are the causes of railway accidents throughout the world?,railway accidents,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s7': 6, 's8': 5, 's3': 5, 's1': 5, 's6': 5, 's5': 5, 's9': 4, 's2': 4, 's4': 4})",43,9,7,0.5596309124,"Counter({'s3': 0.834212241463438, 's7': 0.775850760537019, 's5': 0.6927874315050804, 's8': 0.6402659312974455, 's1': 0.6402659312974455, 's4': 0.6100630020004569, 's2': 0.5575415017928221, 's6': 0.5389001477873046, 's9': 0.40331531854773117})",0.6032919865,"Counter({'s7': 0.8571428571428571, 's8': 0.7142857142857143, 's3': 0.7142857142857143, 's1': 0.7142857142857143, 's6': 0.7142857142857143, 's5': 0.7142857142857143, 's9': 0.5714285714285714, 's2': 0.5714285714285714, 's4': 0.5714285714285714})",0.8342122415,0,1,1,1,1
64.7142857143,1,200,14873,Drug Testing on Rails Praised as a Deterrent,5216,436,What are the causes of railway accidents throughout the world?,railway accidents,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s2': 4, 's1': 4, 's5': 4, 's4': 4, 'none': 3, 's6': 3, 's3': 2})",24,7,7,0.4283634829,"Counter({'s2': 0.6689115404785229, 's1': 0.6689115404785229, 's5': 0.6689115404785229, 's4': 0.6689115404785229, 's6': 0.4459288822065366, 'none': 0.33108845952147736, 's3': 0.23662395338488207})",0.3977696291,"Counter({'s2': 0.5714285714285714, 's1': 0.5714285714285714, 's5': 0.5714285714285714, 's4': 0.5714285714285714, 'none': 0.42857142857142855, 's6': 0.42857142857142855, 's3': 0.2857142857142857})",0.6689115405,0.3310884595,1,1,1,1
68.4285714286,1,151,15338,Norway Oil Output Up,3829,435,What measures have been taken worldwide and what countries have been effective in curbing population growth?,curbing population growth,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'none': 4, 's2': 3, 's1': 3})",10,3,7,0.4253686655,"Counter({'none': 0.5866720298798567, 's2': 0.4133279701201435, 's1': 0.4133279701201435})",0.4285714286,"Counter({'none': 0.5714285714285714, 's2': 0.42857142857142855, 's1': 0.42857142857142855})",0.4133279701,0.5866720299,0,0,1,1
63,1,220,15619,Officer Is Charged in Fight With Airport Security Guard,5651,341,"A relevant document would discuss the effectiveness of efforts to better scrutinize passengers and luggage on all flights, but particularly international flights.",Airport Security,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'none': 4, 's3': 3, 's2': 3, 's1': 3, 's6': 3, 's5': 3, 's4': 3})",22,7,7,0.4248345362,"Counter({'none': 0.5857512768575832, 's3': 0.4142487231424168, 's2': 0.4142487231424168, 's1': 0.4142487231424168, 's6': 0.4142487231424168, 's5': 0.4142487231424168, 's4': 0.4142487231424168})",0.4285714286,"Counter({'none': 0.5714285714285714, 's3': 0.42857142857142855, 's2': 0.42857142857142855, 's1': 0.42857142857142855, 's6': 0.42857142857142855, 's5': 0.42857142857142855, 's4': 0.42857142857142855})",0.4142487231,0.5857512769,0,0,1,1
24.8571428571,1,159,16127,Condom Brand Reassignment,4076,325,Describe a cult by name and identify the cult members' activities in their everyday life.,Cult Lifestyles,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'none': 4, 's2': 3, 's1': 2, 's5': 2, 's4': 2, 's3': 1})",14,6,7,0.5188581258,"Counter({'none': 0.7401037024294658, 's2': 0.2598962975705342, 's1': 0.18855678688200175, 's5': 0.14297127998308987, 's4': 0.14297127998308987, 's3': 0.07133951068853243})",0.3719361987,"Counter({'none': 0.5714285714285714, 's2': 0.42857142857142855, 's1': 0.2857142857142857, 's5': 0.2857142857142857, 's4': 0.2857142857142857, 's3': 0.14285714285714285})",0.2598962976,0.7401037024,0,0,0,0
55,1,339,16519,Della Femina Clarifies Lifestyles Resignation,7817,325,Describe a cult by name and identify the cult members' activities in their everyday life.,Cult Lifestyles,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'none': 6, 's3': 1, 's2': 1, 's1': 1, 's7': 1, 's6': 1, 's5': 1, 's4': 1})",13,8,7,0.7703245379,"Counter({'none': 0.8944765320876303, 's3': 0.10552346791236968, 's2': 0.10552346791236968, 's1': 0.10552346791236968, 's7': 0.10552346791236968, 's6': 0.10552346791236968, 's5': 0.10552346791236968, 's4': 0.10552346791236968})",0.7142857143,"Counter({'none': 0.8571428571428571, 's3': 0.14285714285714285, 's2': 0.14285714285714285, 's1': 0.14285714285714285, 's7': 0.14285714285714285, 's6': 0.14285714285714285, 's5': 0.14285714285714285, 's4': 0.14285714285714285})",0.1055234679,0.8944765321,0,0,0,0
72.4285714286,1,205,17233,Anglicans Favor Female Priests,5342,445,What other countries besides the United States are considering or have approved women as clergy persons?,women clergy,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s3': 6, 's1': 6, 's5': 6, 's2': 5, 's4': 5, 's6': 3})",31,6,7,0.7207231769,"Counter({'s3': 0.9172755704953766, 's1': 0.8644151707604266, 's2': 0.7816907412558032, 's5': 0.775850760537019, 's4': 0.6931263310323955, 's6': 0.32025198951579265})",0.7154907924,"Counter({'s3': 0.8571428571428571, 's1': 0.8571428571428571, 's5': 0.8571428571428571, 's2': 0.7142857142857143, 's4': 0.7142857142857143, 's6': 0.42857142857142855})",0.9172755705,0,1,1,1,2
60.5714285714,1,416,20833,POLAR BEAR SMUGGLING ALLEGED,9345,347,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,Wildlife Extinction,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s8': 4, 's2': 4, 's3': 3, 's10': 3, 's5': 3, 'none': 2, 's1': 2, 's7': 2, 's9': 2, 's4': 2, 's6': 2})",29,11,7,0.2245204054,"Counter({'s8': 0.4531970813928275, 's2': 0.4382342200716737, 's5': 0.38156531209827, 'none': 0.368464996106033, 's3': 0.3668947093831412, 's10': 0.3668947093831412, 's1': 0.24967743318967192, 's9': 0.18855678688200175, 's4': 0.18855678688200175, 's6': 0.18855678688200175, 's7': 0.1882645282759767})",0.2715021523,"Counter({'s8': 0.5714285714285714, 's2': 0.5714285714285714, 's3': 0.42857142857142855, 's10': 0.42857142857142855, 's5': 0.42857142857142855, 'none': 0.2857142857142857, 's1': 0.2857142857142857, 's7': 0.2857142857142857, 's9': 0.2857142857142857, 's4': 0.2857142857142857, 's6': 0.2857142857142857})",0.4531970814,0.3684649961,0,0,1,1
35,1,118,23405,Casey Is Hospitalized Again,2473,310,Evidence that radio waves from radio towers or car (mobile) phones affect brain cancer occurrence.,Radio Waves and Brain Cancer,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'none': 5, 's2': 2, 's1': 2})",9,3,7,0.5695292003,"Counter({'none': 0.7633760466151179, 's2': 0.23662395338488207, 's1': 0.23662395338488207})",0.5238095238,"Counter({'none': 0.7142857142857143, 's2': 0.2857142857142857, 's1': 0.2857142857142857})",0.2366239534,0.7633760466,0,0,0,0
38.5714285714,1,190,24735,Inventions,4959,439,What new inventions or scientific discoveries have been made?,"inventions, scientific discoveries",../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s3': 5, 's4': 5, 's2': 4, 'none': 2, 's1': 2, 's5': 2})",20,6,7,0.3518439621,"Counter({'s3': 0.6004139016706485, 's4': 0.6004139016706485, 'none': 0.39958609832935166, 's2': 0.3950573443277579, 's1': 0.20585657674358285, 's5': 0.20585657674358285})",0.4283948049,"Counter({'s3': 0.7142857142857143, 's4': 0.7142857142857143, 's2': 0.5714285714285714, 'none': 0.2857142857142857, 's1': 0.2857142857142857, 's5': 0.2857142857142857})",0.6004139017,0.3995860983,0,0,1,1
104.2857142857,1,415,25652,PARENTS FIGHT TO TEACH THEIR OWN,9325,394,Identify documents that discuss the education of children at home (home schooling).,home schooling,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s3': 5, 's6': 5, 's5': 5, 's7': 4, 's4': 4, 's1': 3, 'none': 1, 's8': 1, 's2': 1})",29,9,7,0.6163162952,"Counter({'s3': 0.8506760779840308, 's5': 0.8506760779840308, 's6': 0.8199596764272218, 's7': 0.7417499839670976, 's4': 0.7417499839670976, 's1': 0.4160567929145674, 's2': 0.2154403508737976, 's8': 0.09169034802383684, 'none': 0.05763357399213248})",0.4523781129,"Counter({'s3': 0.7142857142857143, 's6': 0.7142857142857143, 's5': 0.7142857142857143, 's7': 0.5714285714285714, 's4': 0.5714285714285714, 's1': 0.42857142857142855, 'none': 0.14285714285714285, 's8': 0.14285714285714285, 's2': 0.14285714285714285})",0.850676078,0.057633574,1,1,1,1
44.7142857143,1,407,27967,Q&A,9166,419,What new uses have been developed for old automobile tires as a means of tire recycling?,"recycle, automobile tires",../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s2': 6, 's1': 6, 's3': 4})",16,3,7,0.790563537,"Counter({'s1': 0.9208541350694315, 's2': 0.9072121156360331, 's3': 0.3719055664837369})",0.7459507528,"Counter({'s2': 0.8571428571428571, 's1': 0.8571428571428571, 's3': 0.5714285714285714})",0.9208541351,0,1,1,1,2
99.8571428571,1,299,28217,Satellites and Disease,7131,355,Identify documents discussing the development and application of space-borne ocean remote sensing.,ocean remote sensing,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s5': 4, 's3': 3, 'none': 3, 's4': 3, 's2': 2})",15,5,7,0.4052045936,"Counter({'none': 0.628094433516263, 's5': 0.3719055664837369, 's4': 0.2927597015531684, 's3': 0.27911768211977006, 's2': 0.20301782714086905})",0.3490747203,"Counter({'s5': 0.5714285714285714, 's3': 0.42857142857142855, 'none': 0.42857142857142855, 's4': 0.42857142857142855, 's2': 0.2857142857142857})",0.3719055665,0.6280944335,0,0,0,1
97.7142857143,1,189,29197,Airport Security,4939,341,"A relevant document would discuss the effectiveness of efforts to better scrutinize passengers and luggage on all flights, but particularly international flights.",Airport Security,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s2': 5, 's3': 4, 's1': 4})",13,3,7,0.5462816875,"Counter({'s2': 0.6814366571940361, 's3': 0.6604544836435884, 's1': 0.5575646949837356})",0.5397571631,"Counter({'s2': 0.7142857142857143, 's3': 0.5714285714285714, 's1': 0.5714285714285714})",0.6814366572,0,0,0,1,1
88.7142857143,1,146,30074,Genetic Test Approved,3627,614,"Find information about the first genetically modified food product to go on the market, Flavr Savr (also Flavor Saver) Tomato developed by Calgene.",Flavr Savr tomato,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s2': 4, 's1': 4, 'none': 2})",10,3,7,0.3471137176,"Counter({'s2': 0.49920903215834367, 's1': 0.48299569730839903, 'none': 0.4268557893771874})",0.3925066994,"Counter({'s2': 0.5714285714285714, 's1': 0.5714285714285714, 'none': 0.2857142857142857})",0.4992090322,0.4268557894,0,0,1,1
52.7142857143,1,325,30859,"Endangered Habitat, Endangered Species",7592,347,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,Wildlife Extinction,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s3': 5, 's5': 4, 's4': 4, 's1': 3, 's6': 3, 'none': 2, 's2': 1})",22,7,7,0.3283339426,"Counter({'s3': 0.580679861413175, 's5': 0.5037853173961233, 's4': 0.49053134809876126, 'none': 0.4193201385868251, 's1': 0.37018295012478664, 's6': 0.2873914553054402, 's2': 0.07689454401705176})",0.3833135667,"Counter({'s3': 0.7142857142857143, 's5': 0.5714285714285714, 's4': 0.5714285714285714, 's1': 0.42857142857142855, 's6': 0.42857142857142855, 'none': 0.2857142857142857, 's2': 0.14285714285714285})",0.5806798614,0.4193201386,0,0,1,1
